N,Flops,s
64,1.697e+08,0.000048
64,6.342e+08,0.000013
64,6.332e+08,0.000013
64,6.323e+08,0.000013
64,6.311e+08,0.000013
128,6.461e+08,0.000051
128,6.465e+08,0.000050
128,6.455e+08,0.000051
128,1.724e+08,0.000189
128,6.463e+08,0.000051
256,6.503e+08,0.000201
256,3.474e+08,0.000377
256,4.064e+08,0.000322
256,6.261e+08,0.000209
256,6.507e+08,0.000201
512,6.447e+08,0.000812
512,6.476e+08,0.000809
512,6.463e+08,0.000810
512,6.458e+08,0.000811
512,6.385e+08,0.000820
1024,6.495e+08,0.003227
1024,6.507e+08,0.003221
1024,6.521e+08,0.003215
1024,6.457e+08,0.003246
1024,6.478e+08,0.003236
2048,6.511e+08,0.012880
2048,7.859e+08,0.010671
2048,7.859e+08,0.010671
2048,7.851e+08,0.010682
2048,7.846e+08,0.010689
4096,7.842e+08,0.042785
4096,7.840e+08,0.042791
4096,7.845e+08,0.042764
4096,7.839e+08,0.042797
4096,6.523e+08,0.051435
