name, average (us), stdev (us), overhead avg (us), overhead stdev (us)
PARALLEL,9.031631,3.514966,9.028949,3.51497
FOR,2.391737,0.019844,2.389055,0.019847
PARALLEL FOR,6.427663,0.072889,6.424982,0.072893
BARRIER,2.40855,0.029546,2.405868,0.02955
SINGLE,4.920577,0.006792,4.917895,0.006796
CRITICAL,0.339213,0.00251,0.336532,0.002514
LOCK/UNLOCK,0.376166,0.008565,0.373484,0.008569
ORDERED,0.371242,0.002454,0.368561,0.002458
ATOMIC,0.055971,0.001403,0.054855,0.001404
REDUCTION,7.168085,0.098706,7.165555,0.098723
