name, size, average (us), stdev (us), overhead avg (us), overhead stdev (us)
STATIC,0,82.349910,12.210197,35.356547,14.049055
STATIC,1,70.266999,12.029571,23.273635,13.868429
STATIC,2,59.595601,3.286538,12.602238,5.125396
STATIC,4,56.499966,0.137633,9.506602,1.976491
STATIC,8,55.977955,0.140732,8.984592,1.979590
STATIC,16,55.734872,0.167200,8.741508,2.006058
STATIC,32,56.168575,0.087076,9.175211,1.925934
STATIC,64,55.617431,0.214570,8.624067,2.053427
STATIC,128,58.694754,6.276759,11.701390,8.115617
STATIC,256,55.250198,0.120360,8.256835,1.959218
STATIC,512,55.344937,0.164076,8.351573,2.002933
STATIC,1024,55.354433,0.177100,8.361069,2.015958
STATIC,2048,55.560028,0.444415,8.566664,2.283272
STATIC,4096,55.549547,0.228331,8.556183,2.067189
STATIC,8192,55.663721,0.175439,8.670357,2.014297
DYNAMIC,1,6203.295046,25.045355,6156.301682,26.884213
DYNAMIC,2,3374.980166,2.727739,3327.986802,4.566597
DYNAMIC,4,2142.957298,1.507210,2095.963934,3.346068
DYNAMIC,8,1618.158265,1.466416,1571.164901,3.305273
DYNAMIC,16,810.110421,19.429818,763.117058,21.268676
DYNAMIC,32,410.664791,0.527582,363.671427,2.366440
DYNAMIC,64,207.988583,0.229921,160.995220,2.068779
DYNAMIC,128,115.517591,0.100469,68.524227,1.939327
DYNAMIC,256,66.091842,0.141677,19.098478,1.980535
DYNAMIC,512,62.309047,0.054408,15.315683,1.893266
DYNAMIC,1024,61.584138,0.077589,14.590774,1.916447
DYNAMIC,2048,61.249266,0.309488,14.255902,2.148346
DYNAMIC,4096,61.145083,0.679742,14.151719,2.518600
DYNAMIC,8192,60.897079,0.077499,13.903715,1.916357
GUIDED,1,73.997773,0.125323,27.004409,1.964181
GUIDED,2,72.908004,0.134913,25.914640,1.973770
GUIDED,4,71.853990,0.243549,24.860626,2.082407
GUIDED,8,70.904005,0.080734,23.910641,1.919592
GUIDED,16,69.300564,0.125466,22.307200,1.964324
GUIDED,32,67.755895,0.162607,20.762531,2.001465
GUIDED,64,66.001077,0.138274,19.007713,1.977132
GUIDED,128,63.798697,0.088411,16.805333,1.927269
GUIDED,256,61.677944,0.074900,14.684580,1.913758
