N,MB,s,MB/s,P
2500000000,9536.74,0.35438,26910.78,2
2500000000,9536.74,0.01671,570867.99,2
2500000000,9536.74,0.01204,791761.34,2
2500000000,9536.74,0.01205,791137.95,2
2500000000,9536.74,0.00897,1062768.10,2
2500000000,9536.74,0.03538,269588.98,4
2500000000,9536.74,0.01414,674631.20,4
2500000000,9536.74,0.01642,580827.25,4
2500000000,9536.74,0.01308,729379.37,4
2500000000,9536.74,0.01933,493299.53,4
2500000000,9536.74,0.06251,152553.18,8
2500000000,9536.74,0.02543,375034.33,8
2500000000,9536.74,0.02142,445136.47,8
2500000000,9536.74,0.02150,443506.24,8
2500000000,9536.74,0.02810,339351.27,8
2500000000,9536.74,0.15974,59701.04,16
2500000000,9536.74,0.04633,205823.55,16
2500000000,9536.74,0.04128,231010.73,16
2500000000,9536.74,0.04745,201003.14,16
2500000000,9536.74,0.05503,173295.36,16
2500000000,9536.74,0.29449,32383.93,32
2500000000,9536.74,0.22992,41479.16,32
2500000000,9536.74,0.16000,59606.03,32
2500000000,9536.74,0.28686,33245.34,32
2500000000,9536.74,0.18891,50483.95,32
2500000000,9536.74,0.96319,9901.16,64
2500000000,9536.74,1.07256,8891.59,64
2500000000,9536.74,0.88459,10781.00,64
2500000000,9536.74,0.96859,9846.01,64
2500000000,9536.74,0.87502,10898.90,64
