N,s,T
1048576,86.287070,1
1048576,85.863515,1
1048576,86.043603,1
1048576,86.150199,1
1048576,85.642803,1
1048576,85.927553,1
1048576,86.104729,1
1048576,85.693995,1
1048576,86.055776,1
1048576,85.988330,1
1048576,85.992231,1
1048576,86.140350,1
1048576,86.031422,1
1048576,86.037990,1
1048576,86.075585,1
1048576,86.193909,1
1048576,86.197856,1
1048576,86.056066,1
1048576,86.018372,1
1048576,86.112562,1
1048576,5.818674,32
1048576,5.156902,32
1048576,5.261397,32
1048576,5.172050,32
1048576,5.166896,32
1048576,5.172360,32
1048576,5.155603,32
1048576,5.160194,32
1048576,5.196784,32
1048576,5.314735,32
1048576,5.165639,32
1048576,5.340507,32
1048576,5.172929,32
1048576,5.241594,32
1048576,5.193741,32
1048576,5.169007,32
1048576,5.197465,32
1048576,5.227736,32
1048576,5.195187,32
1048576,5.227823,32
